Disease ID	Name	Mnemonic	Description
DI-00191	Bloom syndrome	BLM	An autosomal recessive disorder. It is characterized by proportionate pre- and postnatal growth deficiency, sun-sensitive telangiectatic hypo- and hyperpigmented skin, predisposition to malignancy, and chromosomal instability.
DI-02866	Blue cone monochromacy	BCM	A rare X-linked congenital stationary cone dysfunction syndrome characterized by the absence of functional long wavelength-sensitive and medium wavelength-sensitive cones in the retina. Color discrimination is severely impaired from birth, and vision is derived from the remaining preserved blue (S) cones and rod photoreceptors. BCM typically presents with reduced visual acuity, pendular nystagmus, and photophobia. Patients often have myopia.
DI-00192	Boerjeson-Forssman-Lehmann syndrome	BFLS	A X-linked recessive disorder characterized by moderate to severe mental retardation, epilepsy, hypogonadism, hypometabolism, obesity with marked gynecomastia, swelling of subcutaneous tissue of the face, narrow palpebral fissure and large but not deformed ears.
DI-01304	Bohring-Opitz syndrome	BOPS	A syndrome characterized by severe intrauterine growth retardation, poor feeding, profound mental retardation, trigonocephaly, prominent metopic suture, exophthalmos, nevus flammeus of the face, upslanting palpebral fissures, hirsutism, and flexion of the elbows and wrists with deviation of the wrists and metacarpophalangeal joints.
DI-03471	Bone marrow failure syndrome 1	BMFS1	An autosomal dominant disease characterized by aplastic anemia and myelodysplasia resulting from bone marrow failure. Aplastic anemia is a form of anemia in which the bone marrow fails to produce adequate numbers of peripheral blood elements. Myelodysplasia is a clonal hematopoietic stem cell disorder in which immature cells in the bone marrow become malformed and dysfunctional.
DI-04043	Bone marrow failure syndrome 2	BMFS2	An autosomal recessive disorder characterized by trilineage bone marrow failure, bone marrow hypocellularity, learning difficulties, and microcephaly. Insufficient hematopoiesis results in peripheral blood cytopenias, affecting myeloid, erythroid and megakaryocyte lines. Cutaneous features and increased chromosome breakage are not features.
DI-04752	Bone marrow failure syndrome 3	BMFS3	A form of bone marrow failure syndrome, a heterogeneous group of life-threatening disorders characterized by hematopoietic defects in association with a range of variable extra hematopoietic features. BMFS3 is characterized by pancytopenia with onset in early childhood. Some patients have additional variable non-specific features, including poor growth, microcephaly, and skin anomalies. BMFS3 inheritance is autosomal recessive.
DI-01289	Boomerang dysplasia	BOOMD	A perinatal lethal osteochondrodysplasia characterized by absence or underossification of the limb bones and vertebrae. Patients manifest dwarfism with short, bowed, rigid limbs and characteristic facies. Boomerang dysplasia is distinguished from atelosteogenesis on the basis of a more severe defect in mineralization, with complete absence of ossification in some limb elements and vertebral segments.
DI-04111	Bosch-Boonstra-Schaaf optic atrophy syndrome	BBSOAS	An autosomal dominant disorder characterized by optic atrophy associated with developmental delay and intellectual disability. Most patients also have evidence of cerebral visual impairment.
DI-01290	Bosley-Salih-Alorainy syndrome	BSAS	A disease characterized by horizontal gaze abnormalities, deafness, facial weakness, vascular malformations of the internal carotid arteries and cardiac outflow trac. Some patients manifest mental retardation and autism spectrum disorder. Affected individuals do not suffer from central hypoventilation.
DI-00193	Bothnia retinal dystrophy	BRD	A type of retinitis punctata albescens. Affected individuals show night blindness from early childhood with features consistent with retinitis punctata albescens and macular degeneration.
DI-04065	Boucher-Neuhauser syndrome	BNHS	An autosomal recessive disorder characterized by spinocerebellar ataxia, hypogonadotropic hypogonadism, and visual impairment due to chorioretinal dystrophy. The age at onset is variable, but most patients develop 1 or more symptoms in the first decade of life. Chorioretinal dystrophy may not always be present.
DI-02492	Bowen-Conradi syndrome	BWCNS	A combination of malformations characterized in newborns by low birth weight, microcephaly, mild joint restriction, a prominent nose, micrognathia, fifth finger clinodactyly, and 'rocker-bottom' feet. The syndrome is transmitted as an autosomal recessive trait. The prognosis is poor, with all infants dying within the first few months of life.
DI-00194	Brachydactyly A1	BDA1	A form of brachydactyly. Brachydactyly defines a group of inherited malformations characterized by shortening of the digits due to abnormal development of the phalanges and/or the metacarpals. Brachydactyly type A1 is characterized by middle phalanges of all the digits rudimentary or fused with the terminal phalanges. The proximal phalanges of the thumbs and big toes are short. BDA1 inheritance is autosomal dominant.
DI-03654	Brachydactyly A1, C	BDA1C	A form of brachydactyly type A1. Brachydactyly defines a group of inherited malformations characterized by shortening of the digits due to abnormal development of the phalanges and/or the metacarpals. Brachydactyly type A1 is characterized by middle phalanges of all the digits rudimentary or fused with the terminal phalanges. The proximal phalanges of the thumbs and big toes are short. BDA1C inheritance can be autosomal dominant or autosomal recessive. Autosomal dominant BDA1C has a milder phenotype.
DI-04670	Brachydactyly A1, D	BDA1D	A form of brachydactyly type A1. Brachydactyly defines a group of inherited malformations characterized by shortening of the digits due to abnormal development of the phalanges and/or the metacarpals. Brachydactyly type A1 is characterized by middle phalanges of all the digits rudimentary or fused with the terminal phalanges. The proximal phalanges of the thumbs and big toes are short. BDA1D inheritance is autosomal dominant.
DI-00195	Brachydactyly A2	BDA2	A form of brachydactyly. Brachydactyly defines a group of inherited malformations characterized by shortening of the digits due to abnormal development of the phalanges and/or the metacarpals. In brachydactyly type A2 shortening of the middle phalanges is confined to the index finger and the second toe, all other digits being more or less normal. Because of a rhomboid or triangular shape of the affected middle phalanx, the end of the second finger usually deviates radially.
DI-00196	Brachydactyly B1	BDB1	A form of brachydactyly. Brachydactyly defines a group of inherited malformations characterized by shortening of the digits due to abnormal development of the phalanges and/or the metacarpals. In brachydactyly type B1 the middle phalanges are short but in addition the terminal phalanges are rudimentary or absent. Both fingers and toes are affected. The thumbs and big toes are usually deformed. Symphalangism is also a feature.
DI-02844	Brachydactyly B2	BDB2	A form of brachydactyly characterized by hypoplasia/aplasia of distal phalanges in combination with distal symphalangism, fusion of carpal/tarsal bones and partial cutaneous syndactyly.
DI-00197	Brachydactyly C	BDC	A form of brachydactyly. Brachydactyly defines a group of inherited malformations characterized by shortening of the digits due to abnormal development of the phalanges and/or the metacarpals. Brachydactyly type C is characterized by deformity of the middle and proximal phalanges of the second and third fingers, sometimes with hypersegmentation of the proximal phalanx. The ring finger may be essentially normal and project beyond the others.
DI-00198	Brachydactyly D	BDD	A form of brachydactyly. Brachydactyly defines a group of inherited malformations characterized by shortening of the digits due to abnormal development of the phalanges and/or the metacarpals. Brachydactyly type D is characterized by short and broad terminal phalanges of the thumbs and big toes.
DI-00199	Brachydactyly E1	BDE1	A form of brachydactyly. Brachydactyly defines a group of inherited malformations characterized by shortening of the digits due to abnormal development of the phalanges and/or the metacarpals. Brachydactyly type E is characterized by shortening of the fingers mainly in the metacarpals and metatarsals. Wide variability in the number of digits affected occurs from person to person, even in the same family. Some individuals are moderately short of stature. Brachydactyly type E1 is characterized by shortening limited to fourth metacarpals and/or metatarsals.
DI-02711	Brachydactyly E2	BDE2	A form of brachydactyly. Brachydactyly defines a group of inherited malformations characterized by shortening of the digits due to abnormal development of the phalanges and/or the metacarpals. Brachydactyly type E is characterized by shortening of the fingers mainly in the metacarpals and metatarsals. Wide variability in the number of digits affected occurs from person to person, even in the same family. Some individuals are moderately short of stature. In brachydactyly type E2 variable combinations of metacarpals are involved, with shortening also of the first and third distal and the second and fifth middle phalanges.
DI-02923	Brachydactyly-mental retardation syndrome	BDMR	A syndrome resembling the physical anomalies found in Albright hereditary osteodystrophy. Common features are mild facial dysmorphism, congenital heart defects, distinct brachydactyly type E, mental retardation, developmental delay, seizures, autism spectrum disorder, and stocky build. Soft tissue ossification is absent, and there are no abnormalities in parathyroid hormone or calcium metabolism.
DI-01291	Brachydactyly-syndactyly syndrome	BDSD	A disease characterized by generalized shortening of the hands and feet, broad and short distal phalanges of the thumbs, and cutaneous syndactyly of toes 2 and 3. The limb phenotypes observed in this syndrome overlap those of brachydactyly types A4, D, E and syndactyly type 1.
DI-04740	Brachydactyly-syndactyly-oligodactyly syndrome	BDSDO	A syndrome characterized by a complex brachydactyly-syndactyly-oligodactyly phenotype. Limb anomalies include reduced number of digits that are severely shortened, camptodactyly, syndactyly, absence of terminal phalanges of the thumbs, and absence of nails of the thumbs and toes.
DI-01292	Brachyolmia 3	BCYM3	A form of brachyolmia, a clinically and genetically heterogeneous skeletal dysplasia primarily affecting the spine and characterized by a short trunk, short stature, and platyspondyly. BCYM3 is an autosomal dominant form with severe scoliosis with or without kyphosis, and flattened irregular cervical vertebrae.
DI-02331	Brachyolmia type 4 with mild epiphyseal and metaphyseal changes	BCYM4	A form of brachyolmia, a clinically and genetically heterogeneous skeletal dysplasia primarily affecting the spine and characterized by a short trunk, short stature, and platyspondyly. BCYM4 is an autosomal recessive form with mild epiphyseal and metaphyseal changes. Clinical features include short stature evidenced at birth, short and bowed lower limbs, mild brachydactyly, kyphoscoliosis, abnormal gait, enlarged knee joints. Some BCYM4 patients may manifest premature pubarche and hyperandrogenism associated with skeletal dysplasia and short stature.
DI-01293	Brain small vessel disease with or without ocular anomalies	BSVD	An autosomal dominant disease characterized by weakening of the blood vessels in the brain and retinal arteriolar tortuosity. In affected individuals, stroke is often the first symptom and is usually caused by bleeding in the brain (hemorrhagic stroke) rather than a lack of blood flow in the brain (ischemic stroke). Patients also have leukoencephalopathy and may experience seizures and migraine headaches accompanied by visual sensations known as auras.
DI-03567	Branched-chain ketoacid dehydrogenase kinase deficiency	BCKDKD	A metabolic disorder characterized by autism, epilepsy, intellectual disability, and reduced branched-chain amino acids.
DI-01294	Branchiooculofacial syndrome	BOFS	A syndrome characterized by growth retardation, bilateral branchial sinus defects with hemangiomatous, scarred skin, cleft lip with or without cleft palate, pseudocleft of the upper lip, nasolacrimal duct obstruction, low set ears with posterior rotation, a malformed, asymmetrical nose with a broad bridge and flattened tip, conductive or sensorineural deafness, ocular and renal anomalies.
DI-01295	Branchiootic syndrome 1	BOS1	A syndrome characterized by usually bilateral branchial cleft fistulas or cysts, sensorineural and/or conductive hearing loss, pre-auricular pits, and structural defects of the outer, middle or inner ear. Otic defects include malformed and hypoplastic pinnae, a narrowed external ear canal, bulbous internal auditory canal, stapes fixation, malformed and hypoplastic cochlea. Branchial and otic anomalies overlap with those seen in individuals with the branchiootorenal syndrome. However renal anomalies are absent in branchiootic syndrome patients.
DI-01296	Branchiootic syndrome 3	BOS3	A syndrome characterized by usually bilateral branchial cleft fistulas or cysts, sensorineural and/or conductive hearing loss, pre-auricular pits, and structural defects of the outer, middle or inner ear. Otic defects include malformed and hypoplastic pinnae, a narrowed external ear canal, bulbous internal auditory canal, stapes fixation, malformed and hypoplastic cochlea. Branchial and otic anomalies overlap with those seen in individuals with the branchiootorenal syndrome. However renal anomalies are absent in branchiootic syndrome patients.
DI-01297	Branchiootorenal syndrome 1	BOR1	A syndrome characterized by branchial cleft fistulas or cysts, sensorineural and/or conductive hearing loss, pre-auricular pits, structural defects of the outer, middle or inner ear, and renal malformations.
DI-01298	Branchiootorenal syndrome 2	BOR2	A syndrome characterized by branchial cleft fistulas or cysts, sensorineural and/or conductive hearing loss, pre-auricular pits, structural defects of the outer, middle or inner ear, and renal malformations.
DI-02602	Breast cancer	BC	A common malignancy originating from breast epithelial tissue. Breast neoplasms can be distinguished by their histologic pattern. Invasive ductal carcinoma is by far the most common type. Breast cancer is etiologically and genetically heterogeneous. Important genetic factors have been indicated by familial occurrence and bilateral involvement. Mutations at more than one locus can be involved in different families or even in the same case.
DI-03803	Breast cancer, lobular	LBC	A type of breast cancer that begins in the milk-producing glands (lobules) of the breast.
DI-01559	Breast-ovarian cancer, familial, 1	BROVCA1	A condition associated with familial predisposition to cancer of the breast and ovaries. Characteristic features in affected families are an early age of onset of breast cancer (often before age 50), increased chance of bilateral cancers (cancer that develop in both breasts, or both ovaries, independently), frequent occurrence of breast cancer among men, increased incidence of tumors of other specific organs, such as the prostate.
DI-02603	Breast-ovarian cancer, familial, 2	BROVCA2	A condition associated with familial predisposition to cancer of the breast and ovaries. Characteristic features in affected families are an early age of onset of breast cancer (often before age 50), increased chance of bilateral cancers (cancer that develop in both breasts, or both ovaries, independently), frequent occurrence of breast cancer among men, increased incidence of tumors of other specific organs, such as the prostate.
DI-02774	Breast-ovarian cancer, familial, 3	BROVCA3	A condition associated with familial predisposition to cancer of the breast and ovaries. Characteristic features in affected families are an early age of onset of breast cancer (often before age 50), increased chance of bilateral cancers (cancer that develop in both breasts, or both ovaries, independently), frequent occurrence of breast cancer among men, increased incidence of tumors of other specific organs, such as the prostate.
DI-03288	Breast-ovarian cancer, familial, 4	BROVCA4	A condition associated with familial predisposition to cancer of the breast and ovaries. Characteristic features in affected families are an early age of onset of breast cancer (often before age 50), increased chance of bilateral cancers (cancer that develop in both breasts, or both ovaries, independently), frequent occurrence of breast cancer among men, increased incidence of tumors of other specific organs, such as the prostate.
DI-00441	Brittle cornea syndrome 1	BCS1	A disorder characterized by extreme corneal thinning resulting in corneal rupture after minor trauma, blue sclerae, keratoconus or keratoglobus, hyperelasticity of the skin, and hypermobility of the joints. It shares some features with, but is much less severe than, the ocular form of Ehlers-Danlos syndrome (EDS6).
DI-03176	Brittle cornea syndrome 2	BCS2	A disorder characterized by extreme corneal thinning resulting in corneal rupture after minor trauma, blue sclerae, keratoconus or keratoglobus, hyperelasticity of the skin, and hypermobile joints.
DI-00200	Brody myopathy	BRM	A disorder of muscle function that is characterized by painless muscle cramping and exercise-induced impairment of muscle relaxation.
DI-02489	Bronchiectasis with or without elevated sweat chloride 1	BESC1	A debilitating respiratory disease characterized by chronic, abnormal dilatation of the bronchi and other cystic fibrosis-like symptoms in the absence of known causes of bronchiectasis (cystic fibrosis, autoimmune diseases, ciliary dyskinesia, common variable immunodeficiency, foreign body obstruction). Clinical features include sub-normal lung function, sinopulmonary infections, chronic productive cough, excessive sputum production, and elevated sweat chloride in some cases.
DI-02475	Bronchiectasis with or without elevated sweat chloride 2	BESC2	A debilitating respiratory disease characterized by chronic, abnormal dilatation of the bronchi and other cystic fibrosis-like symptoms in the absence of known causes of bronchiectasis (cystic fibrosis, autoimmune diseases, ciliary dyskinesia, common variable immunodeficiency, foreign body obstruction). Clinical features include sub-normal lung function, sinopulmonary infections, chronic productive cough, excessive sputum production, and elevated sweat chloride in some cases.
DI-02488	Bronchiectasis with or without elevated sweat chloride 3	BESC3	A debilitating respiratory disease characterized by chronic, abnormal dilatation of the bronchi and other cystic fibrosis-like symptoms in the absence of known causes of bronchiectasis (cystic fibrosis, autoimmune diseases, ciliary dyskinesia, common variable immunodeficiency, foreign body obstruction). Clinical features include sub-normal lung function, sinopulmonary infections, chronic productive cough, excessive sputum production, and elevated sweat chloride in some cases.
DI-00201	Brooke-Spiegler syndrome	BRSS	An autosomal dominant disorder characterized by the appearance of multiple skin appendage tumors such as cylindroma, trichoepithelioma, and spiradenoma. These tumors are typically located in the head and neck region, appear in early adulthood, and gradually increase in size and number throughout life.
DI-02727	Brown-Vialetto-Van Laere syndrome 1	BVVLS1	A rare neurologic disorder characterized by sensorineural hearing loss and a variety of cranial nerve palsies, which develop over a relatively short period of time in a previously healthy individual. Sensorineural hearing loss may precede the neurological signs. The course is invariably progressive, but the rate of decline is variable within and between families. With disease evolution, long tract signs, lower motor neuron signs, cerebellar ataxia and lower cranial nerve (III-VI) palsies develop, giving rise to a complex picture resembling amyotrophic lateral sclerosis. Diaphragmatic weakness and respiratory compromise are some of the most distressing features, leading to recurrent chest infections and respiratory failure, which are often the cause of patients' demise.
DI-03494	Brown-Vialetto-Van Laere syndrome 2	BVVLS2	An autosomal recessive progressive neurologic disorder characterized by early childhood onset of sensorineural deafness, bulbar dysfunction, and severe diffuse muscle weakness and wasting resulting in respiratory insufficiency and loss of independent ambulation. Because it results from a defect in riboflavin metabolism, some patients may benefit from high-dose riboflavin supplementation.
DI-03760	Bruck syndrome 1	BRKS1	A disease characterized by generalized osteopenia, congenital joint contractures, fragile bones with onset of fractures in infancy or early childhood, short stature, severe limb deformity, progressive scoliosis, and pterygia.
DI-01299	Bruck syndrome 2	BRKS2	An autosomal recessive disease characterized by generalized osteopenia, congenital joint contractures, fragile bones with onset of fractures in infancy or early childhood, short stature, severe limb deformity, progressive scoliosis, and pterygia. It is distinguished from osteogenesis imperfecta by the absence of hearing loss and dentinogenesis imperfecta, and by the presence of clubfoot and congenital joint limitations.
DI-00202	Brugada syndrome 1	BRGDA1	A tachyarrhythmia characterized by right bundle branch block and ST segment elevation on an electrocardiogram (ECG). It can cause the ventricles to beat so fast that the blood is prevented from circulating efficiently in the body. When this situation occurs, the individual will faint and may die in a few minutes if the heart is not reset.
DI-00203	Brugada syndrome 2	BRGDA2	A tachyarrhythmia characterized by right bundle branch block and ST segment elevation on an electrocardiogram (ECG). It can cause the ventricles to beat so fast that the blood is prevented from circulating efficiently in the body. When this situation occurs, the individual will faint and may die in a few minutes if the heart is not reset.
DI-00204	Brugada syndrome 3	BRGDA3	A heart disease characterized by the association of Brugada syndrome with shortened QT intervals. Brugada syndrome is a tachyarrhythmia characterized by right bundle branch block and ST segment elevation on an electrocardiogram (ECG). It can cause the ventricles to beat so fast that the blood is prevented from circulating efficiently in the body. When this situation occurs, the individual will faint and may die in a few minutes if the heart is not reset.
DI-00205	Brugada syndrome 4	BRGDA4	A heart disease characterized by the association of Brugada syndrome with shortened QT intervals. Brugada syndrome is a tachyarrhythmia characterized by right bundle branch block and ST segment elevation on an electrocardiogram (ECG). It can cause the ventricles to beat so fast that the blood is prevented from circulating efficiently in the body. When this situation occurs, the individual will faint and may die in a few minutes if the heart is not reset.
DI-02502	Brugada syndrome 5	BRGDA5	A tachyarrhythmia characterized by right bundle branch block and ST segment elevation on an electrocardiogram (ECG). It can cause the ventricles to beat so fast that the blood is prevented from circulating efficiently in the body. When this situation occurs, the individual will faint and may die in a few minutes if the heart is not reset.
DI-02501	Brugada syndrome 6	BRGDA6	A tachyarrhythmia characterized by right bundle branch block and ST segment elevation on an electrocardiogram (ECG). It can cause the ventricles to beat so fast that the blood is prevented from circulating efficiently in the body. When this situation occurs, the individual will faint and may die in a few minutes if the heart is not reset.
DI-02503	Brugada syndrome 7	BRGDA7	A tachyarrhythmia characterized by right bundle branch block and ST segment elevation on an electrocardiogram (ECG). It can cause the ventricles to beat so fast that the blood is prevented from circulating efficiently in the body. When this situation occurs, the individual will faint and may die in a few minutes if the heart is not reset.
DI-02557	Brugada syndrome 8	BRGDA8	A tachyarrhythmia characterized by right bundle branch block and ST segment elevation on an electrocardiogram (ECG). It can cause the ventricles to beat so fast that the blood is prevented from circulating efficiently in the body. When this situation occurs, the individual will faint and may die in a few minutes if the heart is not reset.
DI-04444	Brugada syndrome 9	BRGDA9	A tachyarrhythmia characterized by right bundle branch block and ST segment elevation on an electrocardiogram (ECG). It can cause the ventricles to beat so fast that the blood is prevented from circulating efficiently in the body. When this situation occurs, the individual will faint and may die in a few minutes if the heart is not reset.
DI-00206	Brunner syndrome	BRNRS	A form of X-linked non-dysmorphic mild mental retardation. Male patients are affected by borderline mental retardation and exhibit abnormal behavior, including disturbed regulation of impulsive aggression. Obligate female carriers have normal intelligence and behavior.
DI-01300	Budd-Chiari syndrome	BDCHS	A syndrome caused by obstruction of hepatic venous outflow involving either the hepatic veins or the terminal segment of the inferior vena cava. Obstructions are generally caused by thrombosis and lead to hepatic congestion and ischemic necrosis. Clinical manifestations observed in the majority of patients include hepatomegaly, right upper quadrant pain and abdominal ascites. Budd-Chiari syndrome is associated with a combination of disease states including primary myeloproliferative syndromes and thrombophilia due to factor V Leiden, protein C deficiency and antithrombin III deficiency. Budd-Chiari syndrome is a rare but typical complication in patients with polycythemia vera.
DI-04567	Bulimia nervosa 2	BULN2	A psychiatric disorder characterized by eating an unusually large amount of food in a short period of time, followed by inappropriate acts (purging) to avert weight gain. Compensatory behavior includes self-induced vomiting, laxative abuse, and excessive exercise.
DI-02613	Burkitt lymphoma	BL	A form of undifferentiated malignant lymphoma commonly manifested as a large osteolytic lesion in the jaw or as an abdominal mass.
DI-04322	Burn-McKeown syndrome	BMKS	A disease characterized by choanal atresia, sensorineural deafness, cardiac defects, and typical craniofacial dysmorphism consisting of narrow palpebral fissures, coloboma of the lower eyelids, prominent nose with high nasal bridge, short philtrum, cleft lip and/or palate, and large and protruding ears. Intellectual development is normal.
DI-01301	Buschke-Ollendorff syndrome	BOS	A disease characterized by osteopoikilosis and disseminated connective-tissue nevi. Osteopoikilosis is a skeletal dysplasia characterized by a symmetric but unequal distribution of multiple hyperostotic areas in different parts of the skeleton. Elastic-type nevi (juvenile elastoma) and collagen-type nevi (dermatofibrosis lenticularis disseminata) have been described in BOS. Skin or bony lesions can be absent in some family members, whereas other relatives may have both.
DI-01302	Butyrylcholinesterase deficiency	BChE deficiency	A metabolic disorder characterized by prolonged apnea after the use of certain anesthetic drugs, including the muscle relaxants succinylcholine or mivacurium and other ester local anesthetics. The duration of the prolonged apnea varies significantly depending on the extent of the enzyme deficiency.
DI-01303	C syndrome	CSYN	A syndrome characterized by trigonocephaly, severe mental retardation, hypotonia, variable cardiac defects, redundant skin, and dysmorphic facial features, including upslanted palpebral fissures, epicanthal folds, depressed nasal bridge, and low-set, posteriorly rotated ears.
DI-01310	Caffey disease	CAFFD	Characterized by an infantile episode of massive subperiosteal new bone formation that typically involves the diaphyses of the long bones, mandible, and clavicles. The involved bones may also appear inflamed, with painful swelling and systemic fever often accompanying the illness. The bone changes usually begin before 5 months of age and resolve before 2 years of age.
DI-03016	Calcification of joints and arteries	CALJA	A condition characterized by adult-onset calcification of the lower extremity arteries, including the iliac, femoral and tibial arteries, and hand and foot capsule joints. Age of onset has been reported as early as the second decade of life, usually involving intense joint pain or calcification in the hands.
DI-01311	Campomelic dysplasia	CMD1	A rare, often lethal, osteochondrodysplasia characterized by congenital bowing and angulation of long bones. Other skeletal defects include unusually small scapula, deformed pelvis and spine, and a missing pair of ribs. Craniofacial and ear defects are common. Most patients die soon after birth due to respiratory distress which has been attributed to hypoplasia of the tracheobronchial cartilage and small thoracic cage. Up to two-thirds of affected XY individuals have genital defects or may develop as phenotypic females.
DI-01312	Camptodactyly, tall stature, and hearing loss syndrome	CATSHLS	An autosomal dominant syndrome characterized by permanent and irreducible flexion of one or more fingers of the hand and/or feet, tall stature, scoliosis and/or a pectus excavatum, and hearing loss. Affected individuals have developmental delay and/or mental retardation, and several of these have microcephaly. Radiographic findings included tall vertebral bodies with irregular borders and broad femoral metaphyses with long tubular shafts. On audiological exam, each tested member have bilateral sensorineural hearing loss and absent otoacoustic emissions. The hearing loss was congenital or developed in early infancy, progressed variably in early childhood, and range from mild to severe. Computed tomography and magnetic resonance imaging reveal that the brain, middle ear, and inner ear are structurally normal.
DI-01313	Camptodactyly-arthropathy-coxa vara-pericarditis syndrome	CACP	An autosomal recessive disorder characterized by the association of congenital or early-onset camptodactyly and non-inflammatory arthropathy with synovial hyperplasia. Individuals with CACP have normal appearing joints at birth but with advancing age develop joint failure, non-inflammatory synoviocyte hyperplasia and subintimal fibrosis of the synovial capsule. Some patients also manifest progressive coxa vara deformity and/or non-inflammatory pericardial or pleural effusions.
DI-04787	Camptosynpolydactyly, complex	CCSPD	An autosomal recessive disorder characterized by hand and foot deformities consisting of polydactyly with digits arising from the dorsum of hands, syn- and camptodactyly of some fingers, soft tissue syndactyly of first and second toes, and dysplastic nails.
DI-01314	Camurati-Engelmann disease	CAEND	An autosomal dominant disorder characterized by hyperostosis and sclerosis of the diaphyses of long bones. The disease typically presents in early childhood with pain, muscular weakness and waddling gait, and in some cases other features such as exophthalmos, facial paralysis, hearing difficulties and loss of vision.
DI-00208	Canavan disease	CAND	A rare neurodegenerative condition of infancy or childhood characterized by white matter vacuolization and demyelination that gives rise to a spongy appearance. The clinical features are onset in early infancy, atonia of neck muscles, hypotonia, hyperextension of legs and flexion of arms, blindness, severe mental defect, megalocephaly, and death by 18 months on the average.
DI-02578	Candidiasis, familial, 2	CANDF2	A primary immunodeficiency disorder with altered immune responses and impaired clearance of fungal infections, selective against Candida. It is characterized by persistent and/or recurrent infections of the skin, nails and mucous membranes caused by organisms of the genus Candida, mainly Candida albicans.
DI-02808	Candidiasis, familial, 4	CANDF4	A primary immunodeficiency disorder with altered immune responses and impaired clearance of fungal infections, selective against Candida. It is characterized by persistent and/or recurrent infections of the skin, nails and mucous membranes caused by organisms of the genus Candida, mainly Candida albicans.
DI-03125	Candidiasis, familial, 6	CANDF6	A primary immunodeficiency disorder with altered immune responses and impaired clearance of fungal infections, selective against Candida. It is characterized by persistent and/or recurrent infections of the skin, nails and mucous membranes caused by organisms of the genus Candida, mainly Candida albicans.
DI-03950	Candidiasis, familial, 8	CANDF8	A primary immunodeficiency disorder with altered immune responses and impaired clearance of fungal infections, selective against Candida. It is characterized by persistent and/or recurrent infections of the skin, nails and mucous membranes caused by organisms of the genus Candida, mainly Candida albicans.
DI-04473	Candidiasis, familial, 9	CANDF9	A disorder characterized by altered immune responses and impaired clearance of fungal infections, selective against Candida. It is characterized by persistent and/or recurrent infections of the skin, nails and mucous membranes caused by organisms of the genus Candida, mainly Candida albicans.
DI-03838	Cap myopathy 1	CAPM1	A rare congenital skeletal muscle disorder characterized by the presence of cap-like structures which are well demarcated and peripherally located under the sarcolemma and show abnormal accumulation of sarcomeric proteins. Clinical features are early onset of hypotonia and slowly progressive muscle weakness. Respiratory problems are common.
DI-03839	Cap myopathy 2	CAPM2	A rare congenital skeletal muscle disorder characterized by the presence of cap-like structures which are well demarcated and peripherally located under the sarcolemma and show abnormal accumulation of sarcomeric proteins. Clinical features are early onset of hypotonia and non-progressive or slowly progressive muscle weakness. Respiratory problems are common.
DI-01315	Capillary malformation-arteriovenous malformation	CMAVM	A disorder characterized by atypical capillary malformations that are multiple, small, round to oval in shape and pinkish red in color. These capillary malformations are associated with either arteriovenous malformation, arteriovenous fistula, or Parkes Weber syndrome.
DI-03786	Capillary malformations, congenital	CMC	A form of vascular malformations that are present from birth, tend to grow with the individual, do not regress spontaneously, and show normal rates of endothelial cell turnover. Capillary malformations are distinct from capillary hemangiomas, which are highly proliferative lesions that appear shortly after birth and show rapid growth, slow involution, and endothelial hypercellularity.
DI-00209	Carbamoyl phosphate synthetase 1 deficiency	CPS1D	An autosomal recessive disorder of the urea cycle causing hyperammonemia. It can present as a devastating metabolic disease dominated by severe hyperammonemia in neonates or as a more insidious late-onset condition, generally manifesting as life-threatening hyperammonemic crises under catabolic situations. Clinical features include protein intolerance, intermittent ataxia, seizures, lethargy, developmental delay and mental retardation.
DI-01316	Carboxypeptidase N deficiency	CPND	Patients affected present some combination of angioedema or chronic urticaria, as well as hay fever or asthma, and have also slightly depressed serum carboxy peptidase N, suggestive of autosomal recessive inheritance of this disorder.
DI-04282	Cardiac conduction disease with or without dilated cardiomyopathy	CCDD	A cardiac disorder characterized by atrial tachyarrhythmia and conduction system disease. Some patients have dilated cardiomyopathy.
DI-02915	Cardiac valvular dysplasia X-linked	CVDX	A rare X-linked heart disease characterized by mitral and/or aortic valve regurgitation. The histologic features include fragmentation of collagenous bundles within the valve fibrosa and accumulation of proteoglycans, which produces excessive valve tissue leading to billowing of the valve leaflets.
DI-01608	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1	CEMCOX1	A disorder characterized by hypotonia, developmental delay, hypertrophic cardiomyopathy, lactic acidosis, gliosis, neuronal loss in basal ganglia, brainstem and spinal cord, and cytochrome c oxidase deficiency.
DI-03707	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2	CEMCOX2	An infantile disorder, with a rapidly progressive fatal course, characterized by cytochrome c oxidase deficiency. Clinical features include microcephaly, encephalopathy, hypertrophic cardiomyopathy, persistent lactic acidosis, respiratory distress, hypotonia and seizures. Postmortem cardiac muscle studies show marked complex IV deficiency. Complex IV activity is only slightly decreased in the skeletal muscle.
DI-04506	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3	CEMCOX3	An infantile disorder with a fatal course in the first weeks of life, characterized by hypertrophic cardiomyopathy and mitochondrial complex IV deficiency. Postmortem microscopic investigations show accumulation of lipid droplets in cardiomyocytes and mitochondrial proliferation.
